Node-Id,Node-Title,betweennessCentrality-1-Social-Network Analysis,betweennessCentrality-1-Social-Network Analysis-unscaled,closenessCentrality-1-Social-Network Analysis,closenessCentrality-1-Social-Network Analysis-unscaled,eccentricityCentrality-1-Social-Network Analysis,egoBetweennessCentrality-1-Social-Network Analysis,inClosenessCentrality-1-Social-Network Analysis,inClosenessCentrality-1-Social-Network Analysis-unscaled,inInverseClosenessCentrality-1-Social-Network Analysis,inInverseClosenessCentrality-1-Social-Network Analysis-unscaled,outDegreeCentrality-1-Social-Network Analysis,outDegreeCentrality-1-Social-Network Analysis-unscaled,outDegreeCentrality-2-Social-Network Analysis,outDegreeCentrality-2-Social-Network Analysis-unscaled,totalDegreeCentrality-1-Social-Network Analysis,totalDegreeCentrality-1-Social-Network Analysis-unscaled,totalDegreeCentrality-2-Social-Network Analysis,totalDegreeCentrality-2-Social-Network Analysis-unscaled
EMP452,EMP452,0,0,1.28E-04,0,5,0,1.05E-05,0,0,0,0.002,15,0.015,3,9.47E-04,15,0.007,3
EMP458,EMP458,0,0,1.26E-04,0,3,0,1.05E-05,0,0,0,3.79E-04,3,0.005,1,1.90E-04,3,0.002,1
EMP568,EMP568,0,0,1.26E-04,0,0,0,1.05E-05,0,0.002,0.333,0,0,0,0,1.90E-04,3,0.002,1
EMP460,EMP460,0,0,1.36E-04,0,48,0,1.05E-05,0,0,0,7.58E-04,6,0.005,1,3.79E-04,6,0.002,1
EMP382,EMP382,0,0,1.26E-04,0,0,0,1.05E-05,0,0.01,2.083,0,0,0,0,6.32E-05,1,0.002,1
EMP485,EMP485,0,0,1.26E-04,0,0,0,1.05E-05,0,0,0,0,0,0,0,0,0,0,0
EMP451,EMP451,0,0,1.26E-04,0,0,0,1.05E-05,0,0.019,3.798,0,0,0,0,6.32E-05,1,0.002,1
EMP522,EMP522,0,0,1.26E-04,0,0,0,1.05E-05,0,0.019,3.798,0,0,0,0,6.32E-05,1,0.002,1
EMP491,EMP491,0,0,1.36E-04,0,45,0,1.05E-05,0,0,0,3.79E-04,3,0.005,1,1.90E-04,3,0.002,1
EMP497,EMP497,0,0,1.26E-04,0,0,0,1.05E-05,0,0,0,0,0,0,0,0,0,0,0
EMP506,EMP506,0,0,1.28E-04,0,43,0,1.05E-05,0,0,0,0.001,9,0.005,1,5.68E-04,9,0.002,1
EMP509,EMP509,0,0,1.28E-04,0,2,0,1.05E-05,0,0,0,7.58E-04,6,0.015,3,3.79E-04,6,0.007,3
EMP514,EMP514,0,0,1.26E-04,0,0,0,1.05E-05,0,0,0,0,0,0,0,0,0,0,0
EMP519,EMP519,0,0,1.29E-04,0,41,0,1.05E-05,0,0,0,0.007,58,0.02,4,0.004,58,0.01,4
EMP523,EMP523,0,0,1.43E-04,0,53,0,1.05E-05,0,0,0,3.79E-04,3,0.015,3,1.90E-04,3,0.007,3
EMP527,EMP527,0,0,1.35E-04,0,48,0,1.06E-05,0,0.008,1.553,7.58E-04,6,0.005,1,8.84E-04,14,0.005,2
EMP478,EMP478,0,0,1.26E-04,0,0,0,1.06E-05,0,0.007,1.497,0,0,0,0,2.53E-04,4,0.002,1
EMP539,EMP539,0,0,1.26E-04,0,0,0,1.05E-05,0,0,0,0,0,0,0,0,0,0,0
EMP540,EMP540,0,0,1.26E-04,0,0,0,1.05E-05,0,0,0,0,0,0,0,0,0,0,0
EMP250,EMP250,0,0,1.26E-04,0,0,0,1.05E-05,0,0.002,0.383,0,0,0,0,1.90E-04,3,0.002,1
EMP270,EMP270,0,0,1.26E-04,0,0,0,1.06E-05,0,0.013,2.696,0,0,0,0,1.90E-04,3,0.002,1
EMP546,EMP546,0,0,1.35E-04,0,57,0,1.06E-05,0,0.006,1.234,0.002,15,0.005,1,0.002,27,0.005,2
EMP303,EMP303,0,0,1.26E-04,0,0,0,1.05E-05,0,0.002,0.374,0,0,0,0,0.001,23,0.002,1
EMP558,EMP558,0,0,1.26E-04,0,2,0,1.05E-05,0,0,0,2.53E-04,2,0.005,1,1.26E-04,2,0.002,1
EMP437,EMP437,0,0,1.26E-04,0,0,0,1.05E-05,0,0.002,0.5,0,0,0,0,1.26E-04,2,0.002,1
EMP560,EMP560,0,0,1.41E-04,0,45,0,1.05E-05,0,0,0,7.58E-04,6,0.01,2,3.79E-04,6,0.005,2
EMP561,EMP561,0,0,1.32E-04,0,25,0,1.05E-05,0,0,0,1.26E-04,1,0.005,1,6.32E-05,1,0.002,1
EMP569,EMP569,0,0,1.26E-04,0,0,0,1.05E-05,0,0,0,0,0,0,0,0,0,0,0
EMP159,EMP159,0,0,1.26E-04,0,0,0,1.06E-05,0,0.006,1.264,0,0,0,0,1.90E-04,3,0.002,1
EMP584,EMP584,0,0,1.26E-04,0,0,0,1.05E-05,0,0,0,0,0,0,0,0,0,0,0
EMP585,EMP585,0,0,1.29E-04,0,25,0,1.05E-05,0,0,0,1.26E-04,1,0.005,1,6.32E-05,1,0.002,1
EMP588,EMP588,0,0,1.26E-04,0,3,0,1.05E-05,0,0,0,3.79E-04,3,0.005,1,1.90E-04,3,0.002,1
EMP591,EMP591,0,0,1.32E-04,0,25,0,1.05E-05,0,0,0,2.53E-04,2,0.01,2,1.26E-04,2,0.005,2
EMP594,EMP594,0,0,1.26E-04,0,3,0,1.05E-05,0,0,0,3.79E-04,3,0.005,1,1.90E-04,3,0.002,1
EMP597,EMP597,0,0,1.27E-04,0,2,0,1.05E-05,0,0,0,1.26E-04,1,0.005,1,6.32E-05,1,0.002,1
EMP600,EMP600,0,0,1.27E-04,0,6,0,1.05E-05,0,0,0,2.53E-04,2,0.005,1,1.26E-04,2,0.002,1
