Node-Id,Node-Title,betweennessCentrality-1-Social-Network Analysis,betweennessCentrality-1-Social-Network Analysis-unscaled,closenessCentrality-1-Social-Network Analysis,closenessCentrality-1-Social-Network Analysis-unscaled,eccentricityCentrality-1-Social-Network Analysis,egoBetweennessCentrality-1-Social-Network Analysis,inClosenessCentrality-1-Social-Network Analysis,inClosenessCentrality-1-Social-Network Analysis-unscaled,inInverseClosenessCentrality-1-Social-Network Analysis,inInverseClosenessCentrality-1-Social-Network Analysis-unscaled,outDegreeCentrality-1-Social-Network Analysis,outDegreeCentrality-1-Social-Network Analysis-unscaled,outDegreeCentrality-2-Social-Network Analysis,outDegreeCentrality-2-Social-Network Analysis-unscaled,totalDegreeCentrality-1-Social-Network Analysis,totalDegreeCentrality-1-Social-Network Analysis-unscaled,totalDegreeCentrality-2-Social-Network Analysis,totalDegreeCentrality-2-Social-Network Analysis-unscaled
EMP231,EMP231,0,0,1.26E-04,0,3,0,1.05E-05,0,0,0,3.79E-04,3,0.005,1,1.90E-04,3,0.002,1
EMP191,EMP191,0,0,1.26E-04,0,0,0,1.06E-05,0,0.015,3.016,0,0,0,0,6.32E-04,10,0.007,3
EMP236,EMP236,0.002,66,1.35E-04,0,19,0.2,1.05E-05,0,0.005,1.018,0.003,24,0.025,5,0.002,28,0.015,6
EMP492,EMP492,5.12E-04,21,1.28E-04,0,7,0.5,1.05E-05,0,0.004,0.843,1.26E-04,1,0.005,1,3.16E-04,5,0.005,2
EMP590,EMP590,0,0,1.26E-04,0,0,0,1.05E-05,0,0.004,0.843,0,0,0,0,2.53E-04,4,0.002,1
EMP237,EMP237,0,0,1.26E-04,0,3,0,1.05E-05,0,0,0,3.79E-04,3,0.005,1,1.90E-04,3,0.002,1
EMP378,EMP378,0,0,1.26E-04,0,0,0,1.05E-05,0,0.013,2.667,0,0,0,0,5.05E-04,8,0.01,4
EMP239,EMP239,2.44E-05,1,1.26E-04,0,12,0.5,1.05E-05,0,0.005,1,0.002,12,0.005,1,8.21E-04,13,0.005,2
EMP409,EMP409,0,0,1.26E-04,0,0,0,1.05E-05,0,0.004,0.777,0,0,0,0,0.001,16,0.005,2
EMP246,EMP246,0,0,1.26E-04,0,0,0,1.05E-05,0,0,0,0,0,0,0,0,0,0,0
EMP247,EMP247,0,0,1.26E-04,0,3,0,1.05E-05,0,0,0,3.79E-04,3,0.005,1,1.90E-04,3,0.002,1
EMP479,EMP479,0,0,1.26E-04,0,0,0,1.05E-05,0,0.002,0.333,0,0,0,0,1.90E-04,3,0.002,1
EMP248,EMP248,0,0,1.30E-04,0,9,0,1.05E-05,0,0,0,3.79E-04,3,0.005,1,1.90E-04,3,0.002,1
EMP249,EMP249,0,0,1.36E-04,0,29,0,1.05E-05,0,0,0,7.58E-04,6,0.005,1,3.79E-04,6,0.002,1
EMP180,EMP180,0,0,1.26E-04,0,0,0,1.05E-05,0,0.003,0.667,0,0,0,0,1.26E-04,2,0.002,1
EMP329,EMP329,0,0,1.26E-04,0,0,0,1.05E-05,0,0.004,0.833,0,0,0,0,1.26E-04,2,0.002,1
EMP268,EMP268,0,0,1.27E-04,0,13,0,1.05E-05,0,0,0,1.26E-04,1,0.005,1,6.32E-05,1,0.002,1
EMP271,EMP271,0,0,1.26E-04,0,6,0,1.05E-05,0,0.005,1,7.58E-04,6,0.005,1,4.42E-04,7,0.005,2
EMP551,EMP551,0,0,1.26E-04,0,0,0,1.05E-05,0,0.003,0.667,0,0,0,0,5.05E-04,8,0.005,2
EMP273,EMP273,0,0,1.26E-04,0,1,0,1.05E-05,0,0,0,1.26E-04,1,0.005,1,6.32E-05,1,0.002,1
EMP340,EMP340,0,0,1.26E-04,0,0,0,1.05E-05,0,0.005,1,0,0,0,0,6.32E-05,1,0.002,1
EMP274,EMP274,0,0,1.28E-04,0,7,0,1.05E-05,0,0,0,0.001,8,0.015,3,5.05E-04,8,0.007,3
EMP331,EMP331,0,0,1.26E-04,0,0,0,1.05E-05,0,0.012,2.5,0,0,0,0,2.53E-04,4,0.007,3
EMP533,EMP533,0,0,1.26E-04,0,0,0,1.05E-05,0,0.007,1.333,0,0,0,0,2.53E-04,4,0.005,2
EMP279,EMP279,0,0,1.35E-04,0,54,0,1.06E-05,0,0.005,1.016,0.002,12,0.005,1,0.002,28,0.005,2
EMP280,EMP280,0,0,1.26E-04,0,2,0,1.06E-05,0,0.007,1.498,2.53E-04,2,0.005,1,3.16E-04,5,0.005,2
EMP464,EMP464,4.15E-04,17,1.26E-04,0,3,0.5,1.06E-05,0,0.011,2.15,3.79E-04,3,0.005,1,5.05E-04,8,0.007,3
EMP281,EMP281,0,0,1.36E-04,0,43,0,1.05E-05,0,0,0,1.26E-04,1,0.005,1,6.32E-05,1,0.002,1
EMP287,EMP287,0,0,1.27E-04,0,2,0,1.05E-05,0,0,0,1.26E-04,1,0.005,1,6.32E-05,1,0.002,1
EMP563,EMP563,7.32E-05,3,1.26E-04,0,1,0.25,1.05E-05,0,0.011,2.333,1.26E-04,1,0.005,1,3.79E-04,6,0.01,4
EMP288,EMP288,0,0,1.26E-04,0,2,0,1.05E-05,0,0.005,1,2.53E-04,2,0.005,1,1.90E-04,3,0.005,2
EMP298,EMP298,0,0,1.26E-04,0,1,0,1.05E-05,0,0.002,0.5,1.26E-04,1,0.005,1,1.90E-04,3,0.005,2
EMP292,EMP292,0,0,1.32E-04,0,8,0,1.05E-05,0,0,0,0.002,14,0.015,3,8.84E-04,14,0.007,3
EMP098,EMP098,0,0,1.26E-04,0,0,0,1.05E-05,0,8.21E-04,0.167,0,0,0,0,3.79E-04,6,0.002,1
EMP123,EMP123,0,0,1.26E-04,0,0,0,1.05E-05,0,8.21E-04,0.167,0,0,0,0,3.79E-04,6,0.002,1
EMP383,EMP383,4.39E-04,18,1.30E-04,0,23,0.5,1.05E-05,0,0.007,1.391,0.003,20,0.01,2,0.002,26,0.007,3
EMP439,EMP439,0,0,1.26E-04,0,0,0,1.05E-05,0,0.011,2.264,0,0,0,0,1.90E-04,3,0.002,1
EMP571,EMP571,3.90E-04,16,1.26E-04,0,3,0.333,1.05E-05,0,0.006,1.197,3.79E-04,3,0.005,1,0.001,18,0.007,3
EMP296,EMP296,0,0,1.26E-04,0,1,0,1.05E-05,0,0,0,1.26E-04,1,0.005,1,6.32E-05,1,0.002,1
EMP481,EMP481,0,0,1.26E-04,0,0,0,1.05E-05,0,0.005,1,0,0,0,0,6.32E-05,1,0.002,1
EMP297,EMP297,0,0,1.26E-04,0,3,0,1.05E-05,0,0,0,3.79E-04,3,0.005,1,1.90E-04,3,0.002,1
EMP301,EMP301,9.51E-04,39,1.39E-04,0,52,0.417,1.05E-05,0,0.01,2,6.32E-04,5,0.015,3,4.42E-04,7,0.012,5
EMP172,EMP172,0,0,1.26E-04,0,0,0,1.05E-05,0,0.008,1.667,0,0,0,0,2.53E-04,4,0.005,2
EMP425,EMP425,0,0,1.39E-04,0,53,0,1.05E-05,0,0.007,1.5,1.26E-04,1,0.005,1,1.26E-04,2,0.005,2
EMP476,EMP476,0.001,52,1.37E-04,0,50,0.5,1.05E-05,0,0.007,1.5,7.58E-04,6,0.01,2,6.95E-04,11,0.01,4
